item_name,price,description,dietery,features,rating
Latte Small,148,"World Famous Fries®. These epic, fan-favourite fries are crispy and golden on the outside and fluffy on the inside.",Veg,[],4.5
Mocha,229,"World Famous Fries®. These epic, fan-favourite fries are crispy and golden on the outside and fluffy on the inside.",Veg,[],4.6
Mocha Small,183,"World Famous Fries®. These epic, fan-favourite fries are crispy and golden on the outside and fluffy on the inside.",Veg,[],4.4
Americano,171,"Blend of assorted vegetables [carrot, beans, capsicum, onion and green peas], mozzarella cheese mixed with tomato sauce and exotic spices stuffed in rectangle shaped savoury dough",Veg,[],4.4
Americano Small,137,"The perfect, taste bud tingling partner for our world-famous fries. Shake shake, and dive in!",Veg,[],4.0
Peach Iced Tea,194,"Bite-sized pieces of breaded boneless chicken, fried and served hot with smoke-flavoured Barbeque Sauce or Mustard Sauce",Veg,[],4.0
Hot Chocolate,171,"Bite-sized pieces of breaded boneless chicken, fried and served hot with smoke-flavoured Barbeque Sauce or Mustard Sauce",Veg,[],4.5
Espresso Small,102,"Bite-sized pieces of breaded boneless chicken, fried and served hot with smoke-flavoured Barbeque Sauce or Mustard Sauce",Veg,[],4.4
Macchiato Small,137,"World Famous Fries®. These epic, fan-favourite fries are crispy and golden on the outside and fluffy on the inside.",Veg,[],4.4
Strawberry Cheese cake,219,A rich smooth creamy cold coffee made with coffee powder and milk.,Veg,[],4.5
Butter Croissant,197,"Specially curated milk based beverage for indian kids with rich chocolate taste and no artificial colors, flavors & preservatives",Veg,[],4.2
Garlic Marinara Toasty,153,A sweet tangy lime flavored tea,Veg,[],4.1
EVM Chicken Surprise,222,"Masala chai is a smooth and spicy blend of natural tea extract, milk solids, black pepper, fennel, clove and cinnamon.",Veg,[],4.1
EVM Veg Maharaja Mac,375,Smoky Chipotle Sauce,Veg,[],4.6
